ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01519,49340,1.000000000,1.000000000,1.000000000,1.000000000
01520,49340,1.000000000,1.000000000,1.000000000,1.000000000
01521,44140,1.000000000,1.000000000,1.000000000,1.000000000
01522,49340,1.000000000,1.000000000,1.000000000,1.000000000
01523,49340,1.000000000,1.000000000,1.000000000,1.000000000
01524,49340,1.000000000,1.000000000,1.000000000,1.000000000
01525,49340,1.000000000,1.000000000,1.000000000,1.000000000
01526,49340,0.000000000,0.000000000,1.000000000,1.000000000
01527,49340,1.000000000,1.000000000,1.000000000,1.000000000
01529,49340,1.000000000,1.000000000,1.000000000,1.000000000
01531,49340,1.000000000,1.000000000,1.000000000,1.000000000
01532,49340,0.997451656,0.998903509,1.000000000,0.997700562
01532,14460,0.002548344,0.001096491,0.000000000,0.002299438
01534,49340,1.000000000,1.000000000,1.000000000,1.000000000
01535,49340,1.000000000,1.000000000,1.000000000,1.000000000
01536,49340,1.000000000,1.000000000,1.000000000,1.000000000
01537,49340,1.000000000,1.000000000,1.000000000,1.000000000
01538,49340,1.000000000,1.000000000,1.000000000,1.000000000
01540,49340,1.000000000,1.000000000,1.000000000,1.000000000
01541,49340,1.000000000,1.000000000,1.000000000,1.000000000
01542,49340,1.000000000,1.000000000,1.000000000,1.000000000
01543,49340,1.000000000,1.000000000,1.000000000,1.000000000
01545,49340,1.000000000,1.000000000,1.000000000,1.000000000
01546,49340,0.000000000,1.000000000,1.000000000,1.000000000
01550,49340,1.000000000,1.000000000,1.000000000,1.000000000
01560,49340,1.000000000,1.000000000,1.000000000,1.000000000
01561,49340,0.000000000,0.000000000,1.000000000,1.000000000
01562,49340,1.000000000,1.000000000,1.000000000,1.000000000
01564,49340,1.000000000,1.000000000,1.000000000,1.000000000
01566,49340,1.000000000,1.000000000,1.000000000,1.000000000
01568,49340,1.000000000,1.000000000,1.000000000,1.000000000
01569,49340,1.000000000,1.000000000,1.000000000,1.000000000
01570,49340,1.000000000,1.000000000,1.000000000,1.000000000
01571,49340,1.000000000,1.000000000,1.000000000,1.000000000
01581,49340,1.000000000,1.000000000,1.000000000,1.000000000
01583,49340,1.000000000,1.000000000,1.000000000,1.000000000
01585,49340,1.000000000,1.000000000,1.000000000,1.000000000
01586,49340,1.000000000,1.000000000,1.000000000,1.000000000
01588,49340,1.000000000,1.000000000,1.000000000,1.000000000
01590,49340,1.000000000,1.000000000,1.000000000,1.000000000
01601,49340,1.000000000,1.000000000,1.000000000,1.000000000
01602,49340,1.000000000,1.000000000,1.000000000,1.000000000
01603,49340,1.000000000,1.000000000,1.000000000,1.000000000
01604,49340,1.000000000,1.000000000,1.000000000,1.000000000
01605,49340,1.000000000,1.000000000,1.000000000,1.000000000
01606,49340,1.000000000,1.000000000,1.000000000,1.000000000
01607,49340,1.000000000,1.000000000,1.000000000,1.000000000
01608,49340,1.000000000,1.000000000,1.000000000,1.000000000
01609,49340,1.000000000,1.000000000,1.000000000,1.000000000
01610,49340,1.000000000,1.000000000,1.000000000,1.000000000
01611,49340,1.000000000,1.000000000,1.000000000,1.000000000
01612,49340,1.000000000,1.000000000,1.000000000,1.000000000
